Name,Org. Name,Director,Duration,Genre,Metascore,IMDB Rating,Number of awards,Awards,Description,Festival Section,URL
Valeria is Getting Married,VALERIA MITHATENET,Michal Vinik,76 min,Drama,,,1,2022 Antalya Special Jury Award,"Michal Vinik’s second feature film Valeria Is Getting Married had its world premiere at Venice Film Festival’s Orizzonti Extra section. Valeria, a young Ukrainian woman, arrives in Israel to meet her future husband, for an arranged marriage brokered online. She joins her sister Christina, who has been living in Israel for some time and who has met her own husband through a similar arrangement. Life in Israel is great for Christina and her husband, and they want the same for her sister. However, Valeria is different from her sister. Against expectations, the two sisters must each make a decision for themselves. ‘I have come to realise that my interest mostly has to do with how these relationships serve as a mirror for all committed relationships between any two people, whether married or not,’ says director Michal Vinik.",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/valeria-is-getting-married
Scrapper,SCRAPPER,Charlotte Regan,87 min,"Crime, Drama, Thriller",,5.0,1,2023 Sundance Grand Jury Prize–World Cinema Dramatic,"The debut feature by Charlotte Regan, a music video director since her teen years, follows Georgie, a dreamy, funny, independent 12-year-old girl. Following her mother’s death, Georgie lives by herself happily in their London outskirts flat, filling it with magic with his friend Ali. Suddenly, a man turns up (apparently her estranged father,) and forces her to confront reality. A vibrant, warm, joyful, humorous, imaginative, sweet, emotional father-daughter story, Scrapper stars Harris Dickinson (the lead in Triangle of Sadness) as the father.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/scrapper
RSVP (Please Respond),LCV (LÜTFEN CEVAP VERİNİZ),"İsmet Kurtuluş, Kaan Arıcı",70 min,Drama,,,1,2022 Antalya Best Actor (Cem Yiğit Üzümoğlu),"About an hour before their wedding ceremony, Ceren and Semih begin to doubt their happiest day when their close friend, Mert, starts to reveal secrets from the past.",Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/rsvp-please-respond
Passages,PASSAGES,Ira Sachs,112 min,Drama,,7.1,0,,"Premiering at Sundance in January and screening in the Panorama section at the Berlin Film Festival in February, Passages depicts an unusual love triangle that forms at a club in Paris: Tomas, a queer auteur film director (Franz Rogowski,) his English husband Martin (Ben Whishaw,) and Agathe (Adèle Exarchopoulos.) American indie star director Ira Sachs’ latest film follows the narcissistic, unlikeable, though charismatic Tomas as he disrupts and destroys his marriage, all the while maintaining his toxic grip on both of his relationships.",Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/passages
The Boys in the Band,The Boys in the Band,William Friedkin,121 min,Drama,70.0,6.8,0,,This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-boys-in-the-band
The Mother and the Whore,LA MAMAN ET LA PUTAIN,Jean Eustache,210 min,"Drama, Romance",,7.8,2,"1973 Cannes Grand Prix, FIPRESCI Prize","Considered his masterpiece, the first feature film by Jean Eustache is a classic of French cinema and a seminal work of the post-nouvelle vague era. Tender, passionate, romantic, intimate, and youthful, The Mother and the Whore follows the philosophical conversations and monologues on love and sex of three characters involved in an unusual love triangle: the aimless Alexandre, his girlfriend Marie, and Veronika, a casual encounter who becomes his lover. At the Cannes Film Festival, where the film won the Grand Prix, many critics saw the film as immoral, obscene, or, ‘an insult to the nation’ as seen by Le Figaro, but these negative reviews did not hinder it from becoming one of the most praised French films of all times. ‘The films I made are as autobiographical as fiction can be,’ had said Eustache, who described The Mother and the Whore as a ‘narrative of certain seemingly innocuous acts. It could be the narrative of entirely different acts, in other places. What happens, the places where the action unfolds, have no importance.’",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-mother-and-the-whore
Numb,ASAB KESHI,Amir Toodehroosta,93 min,"Comedy, Drama, Romance",,6.6,0,,"Pre-school is the first and last time boys and girls can learn together freely in Iran. Numb which had its world premiere at the 2023 Film Festival Rotterdam within the Tiger Competition is set in a kindergarten and follows the curious little boy Roham. Roham falls in love with his classmate Rana and discovers the complicated secrets of her personal life all the while confronting the class bully. Written, directed, and produced by Amir Toodehroosta, Numb observes some hilarious interactions between the young children and the adults who are to train rather than educate them, but eventually transforms into a darker drama about the corruption of childhood innocence and the society.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/numb
"And the King Said, What a Fantastic Machine","AND THE KING SAID, WHAT A FANTASTIC MACHINE","Axel Danielson, Maximilien Van Aertryck",,,,,0,,"Filmmakers Axel Danielson & Maximilien Van Aertryck turn their cameras directly on society, this time to explore, explain and expose how our unchecked obsession with image has grown to change our human behaviour. From ’Camera Obscura’ and the Lumière Brothers all the way to Youtube and the world of social media, the film chronicles how we went from capturing the image of a backyard to a multi-billion- euro content industry in just 200 years. The film had its world premiere at Sundance Film Festival and then was screened at the Berlin Film Festival.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/and-the-king-said-what-a-fantastic-machine
The Yellow Ceiling,EL SOSTRE GROC,Isabel Coixet,94 min,Documentary,,,2,"2022 San Sebastian RTVE Another Look Award, Special Mention","Catalan filmmaker Isabel Coixet has made several outstanding socially influenced documentaries alongside highly-praised fiction films. The Yellow Ceiling explains and denounces the Case of the Lleida Theater Classroom in Spain through its protagonists. In 2018, a group of nine women filed a complaint against two of their teachers for sexual abuse that occurred between 2001 and 2008, when they were teenagers. It was too late. Out of fear, out of shame, because it took them a long time to understand and digest what had happened, the complaint came when the case had already been prescribed and was filed. Isabel Coixet uses candid interviews with students and others involved and combines them with archival footage and home videos to tell an agonising story that spans 20 years narrated from the perspective of its victims.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-yellow-ceiling
Tótem,TÓTEM,Lila Avilés,60 min,Documentary,,,1,2023 Berlin Ecumenical Jury Prize,"The portrait of a Mexican family is drawn once again, this time through the eyes of a young girl in Lila Avilés’ latest film that premiered in the main competition at the 2023 Berlin Film Festival. The central hero is the glittering, shining seven-year-old Sol (sun in Spanish,) who lives in a happy home within a happy, crowded family. Highlighting bodily needs as well as emotional ones, Totém follows Sol’s family as they prepare for a lit surprise birthday dinner in the garden for Sol’s father. Throughout the day, chaos slowly takes over, fracturing the family’s foundations. Sol will come to understand that her world is about to change dramatically, embracing the essence of letting go and cherishing the breath of life. ‘To think about death is to think about life,’ says Mexican auteur filmmaker Lila Avilés whose previous film The Chambermaid was screened at the festival in 2019 and lead actress Gabriela Cartol had visited the festival.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/t-tem
Falcon Lake,Falcon Lake,Charlotte Le Bon,100 min,"Drama, Romance",,7.5,1,2022 Prix Louis Delluc (France) Best First Film,This film is screened with the generous support of the Embassy of Canada.,Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/falcon-lake
Let the Dance Begin,EMPIEZA EL BAILE,Marina Seresesky,,"Comedy, Drama, Music",,,0,,"A passion, tango, love, music, fun and adventure-filled road movie that travels across Argentina through memories... Carlos and Margarita were the most celebrated tango couple of their time. Today, little and nothing remains of that splendour or passion. Carlos lives in Madrid, Margarita lives in Buenos Aires immersed in poverty and oblivion, and with that sarcastic and rogue humour. Together with their inseparable friend Pichuquito, the couple reunites to begin a journey from the city of Carlos Gardel to the foot of the Andes in search of answers, finding their memories, their fears, but above all their true desires.",Antidepressant,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/let-the-dance-begin
Winter Boy,LE LYCÉEN,Christophe Honoré,122 min,Drama,,,0,,"The most recent film by novelist, playwright, filmmaker Christophe Honoré (On A Magical Night, Beloved, Love Songs) is an autobiographical film about a high school student, telling his own story as he struggles to make sense of things, discovers himself, as if thinking out loud. Set over the course of one winter, the film follows 17-year-old Lucas, when his teenage world is suddenly shattered upon a tragedy. He views his life as a wild animal in need of taming. Between a brother settled in Paris and a mother with whom he now lives alone, Lucas now has to fight to rediscover hope and love. Christophe Honoré, who also plays the father in the film, says: ‘Maybe this is what the film is all about – how to turn tragedy into a joyful form of sorrow. This is why I think that the film is first and foremost a love story, not a melodrama, but a film that hopes for love.’",Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/winter-boy
Killer Joe,KILLER JOE,William Friedkin,102 min,"Drama, Thriller",62.0,6.7,2,"2013 Saturn Awards Best Independent Film, Best Actor (Matthew McConaughey)",This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/killer-joe
God’s Creatures,GOD’S CREATURES,"Saela Davis, Anna Rose Holmer",100 min,Drama,71.0,5.9,0,,"Starring the amazing lead actor of Aftersun, Paul Mescal, and Emily Watson as his mother, God’s Creatures world premiered within the Directors’ Fortnight section at Cannes Film Festival and was later the opening film of the Dublin Film Festival. The devastating drama focuses on secrets and lies in a quiet fishing village on the north-west coast of Ireland. God’s Creatures follows a mother torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him when he suddenly returns home after living abroad for seven years rips apart their family and close-knit community in this tense, sweepingly emotional epic.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/god-s-creatures
The Damned Don’t Cry,LES DAMNÉS NE PLEURENT PAS,Fyzal Boulifa,,,,,2,"2023 Belgrad Best Actress, FEDEORA Award","Fatima-Zahra and her teenage son Selim move from place to place, forever trying to outrun the latest scandal she’s caught up in. When Selim discovers the truth about their past, his mother vows to make a fresh start. In Tangier, new opportunities promise the legitimacy they each crave, but not without pushing the volatile mother-son relationship to the breaking point. The Damned Don’t Cry combines melodrama and neorealism to tell the story of a mother-son relationship on the fringes, observing the effects of oppression – both economic and affective – in a cut-throat world. Borrowing its title from a 1950s Joan Crawford melodrama, The Damned Don’t Cry employs non-professional actors for its two main actors and almost the entire cast. In his second feature which premiered at the Venice Film Festival, writer-director Fyzal Boulifa manages to avoid pastiche while ‘readily embracing some of the formal elements of melodrama’ as he takes his inspiration from Pasolini’s Mamma Roma and Le notti di Cabiria.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-damned-don-t-cry
Safe Place,SÍGURNO MJESTO,Juraj Lerotic,5 min,"Short, Horror",,,1,2022 Cottbus Best Film,This film is screened with the generous support of the Consulate General of Croatia.,Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/safe-place
Subtraction,TAFRIGH,Mani Haghighi,107 min,"Drama, Mystery",,,0,,"In downtown Tehran, Farzaneh spots her husband, Jalal, walking into a woman’s apartment. Convinced he is having an affair, she confronts him, but Jalal claims he was actually out of town for work. He decides to check out the building for himself. There, he meets a woman, who is the spitting image of Farzaneh, married to a man identical to himself. ‘I wanted to make a film about the atmosphere of Tehran: not the explicitly political film that tackles issues head-on, but a film about the mood of this city, how it feels for us to live here, all of us, together with our doubles,’ says director Haghighi for his latest film, Subtraction which premiered at Toronto Film Festival. The film stars Taraneh Alidoosti with Navid Mohammedzadeh, both of whom were in Leila’s Brothers which screened at Filmekimi.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/subtraction
Lie with Me,ARRÊTE AVEC TES MENSONGES,Olivier Peyon,93 min,"Drama, Romance",,5.2,0,,"Upon agreeing to be the brand ambassador for a famous cognac celebrating their bicentennial, prominent novelist Stéphane Belcourt returns to his hometown for the first time in many years. Once there, first the culture shock hits him, and then he meets his first love’s son, Lucas. Memories come rushing back to him: irrepressible attraction, bodies becoming one in the heat of desire, a passion that can never be revealed... His first love’s name was Thomas. The very “Thomas” who appears in every one of his novels. They were 17. Olivier Peyon’s touching adaptation of Philippe Besson’s award-winning autobiographical novel of the same name travels between 1984 and the present, painting a bittersweet portrait of sexual awakening, first love, heartbreak, shame, and an impossible love affair.",Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/lie-with-me
Stories Not to Be Told,HISTORIAS PARA NO CONTAR,Cesc Gay,100 min,"Action, Adventure, Comedy",,,0,,"Friends, lovers, or to-be lovers... Unexpected meetings, humiliation, jealousy, lies, prejudice, and gossip... A collection of very human sins, and a hilarious gallery of cringe. Tackling suppressed desires and taboos in Sentimental / The People Upstairs, Cesc Gay presents yet another urban comedy about those kinds of situations we’ve all found ourselves in, but which we’d rather no one ever knew about, or which we wish we could forget about altogether. Five stories, a sardonic, yet sympathetic ode to humans’ inability to govern our own emotions, Stories Not To Be Told was screened in the Special Presentations section of the Toronto Film Festival.",Antidepressant,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/stories-not-to-be-told
"Days of Fire, Love and Anarchy: the Turkish Sinematek and Onat Kutlar","AŞK, ATEŞ VE ANARŞİ GÜNLERİ: TÜRK SİNEMATEKİ VE ONAT KUTLAR",Önder Esmer,,,,,0,,"In 1961, young writer Onat Kutlar goes to Paris to study philosophy. After going to the French Cinémathèque, he discovers his passion for cinema and decides to establish a cinematheque in Istanbul as well. Only a few years later, in 1965, the Turkish Sinematek is founded by Onat Kutlar and a group of intellectuals. The interest in the Sinematek exceeds all expectations, and art films from all over the world are screened there for the first time. The Sinematek not only shows films, but also becomes a centre, where an intellectual film culture emerges and a new generation of filmmakers, critics, and cinephiles grows up. However, the Sinematek, soon enough, finds itself in the midst of an unexpected clash with Turkish filmmakers.",Special Screening,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/days-of-fire-love-and-anarchy-the-turkish-sinematek-and-onat-kutlar
I Have Electric Dreams,TENGO SUEÑOS ELÉCTRICOS,Valentina Maurel,102 min,Drama,,,2,"2022 Thessaloniki Best Film, Best Actor","Enchanting and captivating from the moment it opens, I Have Electric Dreams paints a tender, emotionally intense, visually innovative portrait of Eva—a restless teenage girl, who realises that adulthood isn’t the golden age she dreamed of. Strong-willed Eva lives with her mother, her younger sister and their cat, but desperately wants to move in with her estranged father. She balances between the tenderness and sensitivity of teenage life and the ruthlessness of the adult world. Costa Rican director based in Belgium, Valentina Maurel about her debut film: ‘But this isn’t a coming-of-age tale, Eva’s trajectory isn’t that of a teen who becomes an adult, it’s that of a teenager who realises there aren’t really any adults around her.’",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/i-have-electric-dreams
Ingeborg Bachmann – Journey into the Desert,INGEBORG BACHMANN – REISE IN DIE WÜSTE,Margarethe von Trotta,110 min,"Biography, Drama, History",55.0,,0,,"A stunning biopic that brings together brilliant names together: Margarethe von Trotta directs actress Vicky Krieps (Corsage) as Austrian poet and author Ingeborg Bachmann. world premiering at the 2023 Berlin Film Festival within the main competition, Ingeborg Bachmann – Journey into the Desert does not stay on the pages as she writes but follows its titular character through her passionate relationship with Swiss writer Max Frisch, and her arduous trip to Egypt from Berlin and Zurich. Margarethe von Trotta often focuses on stories of strong-willed women, such as Hanna Arendt and Rosa Luxembourg, who refuse to bow down to patriarchal norms, and Ingeborg Bachmann is no exception when she states as a liberated woman in a predominantly male literary world: ‘Fascism is the first element in a relation between a man and a woman.’",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/ingeborg-bachmann-journey-into-the-desert
The Eternal Memory,THE ETERNAL MEMORY,Maite Alberdi,85 min,Documentary,,7.9,1,2023 Sundance Grand Jury Prize World Cinema Documentary,"The Oscar-nominated director of The Mole Agent returns with another touching documentary that premiered at Sundance and later screened at Berlin Film Festival. The Eternal Memory follows Augusto and Paulina who have been together and in love for 25 years. Eight years ago, Augusto was diagnosed with Alzheimer’s disease, and his wife has since become his caretaker. As one of Chile’s most prominent cultural commentators and television presenters, Augusto is no stranger to building an archive of memory following the Pinochet dictatorship and its systematic erasure of collective consciousness. Now he turns that work to his own life, trying to hold on to his identity. Using a collage-like montage that makes the film seem like a tender and humorous journey through the stages of an eventful life, director Maite Alberdi traces the story of a man who has spent his whole life writing in a bid to prevent collective forgetting, but who is now himself gradually losing his memory.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-eternal-memory
Seven Winters in Tehran,SIEBEN WINTER IN TEHERAN,Steffi Niederzoll,,,,,2,"2023 Berlin Peace Film Prize, Best Film–Perspektive Deutsches Kino","Iran, 2007: Reyhaneh Jabbari, 19, is imprisoned for murdering the man who tried to rape her. Her trial results in a death penalty sentence. Steffi Niederzoll, in her directorial debut retraces the fate of a woman who becomes a symbol of resistance and women’s rights even beyond the borders of Iran. ‘How does one overcome the feeling of powerlessness and show resistance?’ is the motivation of the Perspektive Deutsches Kino jury that awarded the film at Berlin: ‘Spellbound, we follow the story of a young woman who defies institutionalised male violence.’ Holy Spider actress Zar Amir Ebrahimi lends Reyhaneh her voice throughout the film that sparks hope in her struggle.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/seven-winters-in-tehran
Sorcerer,Sorcerer,William Friedkin,121 min,"Adventure, Drama, Thriller",68.0,7.7,0,,This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/sorcerer
Saint Omer,Saint Omer,Alice Diop,122 min,Drama,91.0,6.9,2,"2022 Venice Grand Jury Prize, Lion of the Future Award","Saint Omer court of law... Young novelist Rama attends the trial of Laurence Coly, a young, black woman accused of killing her 15-month-old daughter by abandoning her to the rising tide on a beach. But as the trial continues, the words of the accused and witness testimonies shake Rama’s convictions and call into question our own judgement. In Saint Omer, ‘obsessed by documenting ritual of justice,’ as she puts, Alice Diop confronts the unimaginable, placing us as close as possible to the accused in order to examine the mystery of her actions with great sensitivity and intelligence. Alice Diop’s fiction feature film debut Saint Omer is based on real events, reenacting and replaying the text of the actual trial, and deals specifically about not only immigration but in her own words, ‘How we, black French women have become mothers through these mothers.’ Saint Omer is France’s Oscar candidate.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/saint-omer
Blue Jean,Blue Jean,Georgia Oakley,97 min,Drama,91.0,7.5,1,2022 Venice People’s Choice–Giornate degli Autori,"England, 1988, the height of the AIDS panic surge. Popular PE teacher, Jean, leads a double life—she has recently come out to friends and family, but is as reserved as possible at school due to a law prohibiting ‘the promotion of homosexuality by local authorities.’ The arrival of a new girl student at school intensifies the pressure, and catalyses a crisis that will challenge Jean to her core, forcing her to struggle between self-betrayal, sanity, and her job. Inspired by filmmakers such as Kelly Reichardt and Chantal Akerman, filmmaker Georgia Oakley in her debut feature film succeeds in bringing about a social drama on how quickly and easily people demonise others. Shot on 16mm, Blue Jean stars Rosy McEwen from The Alienist,whose compelling and restrained performance brought praise and awards.",Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/blue-jean
All the Beauty and the Bloodshed,ALL THE BEAUTY AND THE BLOODSHED,Laura Poitras,122 min,Documentary,90.0,7.6,2,"2022 Venice Best Film, Ambassador of Hope","Oscar–winning documentarian Laura Poitras tells the epic, emotional, and interconnected story about one of the most celebrated and controversial photographers of the 20th century, Nan Goldin—through her groundbreaking photography, interviews, and her personal fight to prevent and stop the opioid crisis in the USA. Goldin and the NGO PAIN holds the Sackler family, owner of Purdue Pharma, accountable for the opioid overdose crisis that claimed more than 400,000 lives in the USA. Goldin admits to having been addicted to the drug OxyContin soon after being prescribed it. An Oscar nominee in the Best Documentary category, the film also reflects on Goldin’s own history—uncovering family secrets, relationships with friends and fellow artists, and the stories behind her photographs. The film is described by Poitras as ‘A legacy of people escaping America.’",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/all-the-beauty-and-the-bloodshed
A Woman Escapes,A Woman Escapes,"Sofia Bohdanowicz, Burak Çevik, Blake Williams",81 min,Drama,,5.0,1,2022 FID Marseille Mansiyon–CNAP Special Mention–CNAP,"Audrey Benac lives alone in Paris after having moved there to tend to the home of her recently deceased friend, Juliane. Moving through the days without any clear motivation or sense of purpose, she tries to re-establish her footing in the world by beginning video correspondences with two filmmakers: Burak, who lives in Istanbul, and Blake, who lives in Toronto. This exchange of words and footage initiates a healing process, but the nature of the interaction is not what it seems. An extraordinary effort by three artist-filmmakers living in three overseas cities might be characterised by what director Burak Çevik says: ‘It’s because the film is not about the story itself. It is really about the two years that passed while we were making it.’ A film shot in 16mm, 3D, and HD Digital, whose narrative changed course as its creators corresponded, a film about communication, grieving, missing, and inevitably the pandemic. A Woman Escapes premiered at FID Marseille.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/a-woman-escapes
